id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.INR.price,quote.INR.volume_24h,quote.INR.volume_change_24h,quote.INR.percent_change_1h,quote.INR.percent_change_24h,quote.INR.percent_change_7d,quote.INR.percent_change_30d,quote.INR.percent_change_60d,quote.INR.percent_change_90d,quote.INR.market_cap,quote.INR.market_cap_dominance,quote.INR.fully_diluted_market_cap,quote.INR.tvl,quote.INR.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11941,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19825100.0,19825100.0,False,,1,,,,2025-02-16T12:21:00.000Z,8428112.52629615,1376421149803.928,-47.2158,-0.00555063,-0.43251181,0.55543816,-5.18162488,-7.5419816,7.55286837,167088173645073.78,59.6846,176990363052219.12,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
1027,Ethereum,ETH,ethereum,9931,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'heco-ecosystem', 'binance-labs-portfolio', 'solana-ecosystem', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'tezos-ecosystem', 'near-protocol-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'osmosis-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'zksync-era-ecosystem', 'viction-ecosystem', 'klaytn-ecosystem', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'starknet-ecosystem']",,120552658.84890571,120552658.84890571,True,,2,,,,2025-02-16T12:20:00.000Z,234918.7272892604,892184235081.2552,-34.7556,0.15114828,0.06774391,1.8854094,-20.78822392,-30.21693008,-11.54117142,28320077188121.324,10.1153,28320077188121.723,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
52,XRP,XRP,xrp,1533,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america']",100000000000.0,57818864895.0,99986451428.0,False,,3,,,,2025-02-16T12:20:00.000Z,239.1596644594,317512638913.126,-44.3853,0.14025482,-1.747728,12.79244815,-15.68505805,7.34609614,146.34615143,13827940327711.584,4.939,23915966445940.33,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
825,Tether USDt,USDT,tether,116851,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'waves-ecosystem', 'bitcoin-cash-ecosystem', 'heco-ecosystem', 'algorand-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'tezos-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'iotex-ecosystem', 'zilliqa-ecosystem', 'harmony-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'usd-stablecoin', 'xdc-ecosystem', 'everscale-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'canto-ecosystem', 'osmosis-ecosystem', 'zksync-era-ecosystem', 'pulsechain-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'fiat-stablecoin', 'viction-ecosystem', 'gnosis-chain-ecosystem', 'klaytn-ecosystem', 'okexchain-ecosystem', 'conflux-ecosystem', 'kcc-ecosystem', 'tron20-ecosystem', 'kardiachain-ecosystem', 'rsk-rbtc-ecosystem', 'telos-ecosystem', 'boba-network-ecosystem', 'fusion-network-ecosystem', 'hoo-smart-chain-ecosystem', 'secret-ecosystem', 'aurora-ecosystem', 'metis-andromeda-ecosystem', 'meter-ecosystem', 'fuse-ecosystem', 'syscoin-ecosystem', 'milkomeda-ecosystem', 'bitgert-ecosystem', 'astar-ecosystem', 'cube-network-ecosystem', 'thundercore-ecosystem', 'redlight-chain-ecosystem', 'core-ecosystem', 'polygon-zkevm-ecosystem', 'eos-evm-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'neon-evm-ecosystem', 'manta-pacific-ecosystem', 'scroll-ecosystem', 'x-layer-ecosystem']",,141996505143.64334,143566824829.4212,True,,4,,,,2025-02-16T12:21:00.000Z,86.67781420436626,3882885113927.3716,-39.748,0.01811373,-0.00475561,-0.00471263,0.02180713,0.03536077,-0.00211764,12307946690510.055,4.3964,12444058568475.55,,2025-02-16T12:21:04.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-02-16 17:52:31
1839,BNB,BNB,bnb,2361,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'ethereum-ecosystem', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,142477593.97,142477593.97,False,,5,,,,2025-02-16T12:21:00.000Z,57928.576457678326,155201706054.57416,-12.7128,0.30530228,1.3186226,7.32049822,-8.14325086,-7.02242536,8.74249407,8253524195797.193,2.9482,8253524195797.4795,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
5426,Solana,SOL,solana,840,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america']",,488388045.7924952,594228908.4177647,True,,6,,,,2025-02-16T12:20:00.000Z,16758.803155749207,131365845697.67947,-55.9778,0.04052268,-1.0016522,-4.46768972,-11.80232891,-11.31607883,-20.26279096,8184799123057.456,2.9236,9958565305628.848,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
3408,USDC,USDC,usd-coin,25716,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'waves-ecosystem', 'bitcoin-cash-ecosystem', 'wanchain-ecosystem', 'coinbase-ventures-portfolio', 'algorand-ecosystem', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'iotex-ecosystem', 'harmony-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'usd-stablecoin', 'everscale-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'canto-ecosystem', 'osmosis-ecosystem', 'zksync-era-ecosystem', 'pulsechain-ecosystem', 'base-ecosystem', 'sei-ecosystem', 'multiversx-ecosystem', 'fiat-stablecoin', 'viction-ecosystem', 'gnosis-chain-ecosystem', 'okexchain-ecosystem', 'conflux-ecosystem', 'kcc-ecosystem', 'tron20-ecosystem', 'kardiachain-ecosystem', 'telos-ecosystem', 'ronin-ecosystem', 'boba-network-ecosystem', 'kava-ecosystem', 'secret-ecosystem', 'aurora-ecosystem', 'metis-andromeda-ecosystem', 'meter-ecosystem', 'fuse-ecosystem', 'elastos-ecosystem', 'syscoin-ecosystem', 'milkomeda-ecosystem', 'evmos-ecosystem', 'bitgert-ecosystem', 'astar-ecosystem', 'thundercore-ecosystem', 'tomb-chain-ecosystem', 'wemix-ecosystem', 'sx-network-ecosystem', 'godwoken-ecosystem', 'energi-ecosystem', 'core-ecosystem', 'polygon-zkevm-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'neon-evm-ecosystem', 'scroll-ecosystem', 'shido-network-ecosystem', 'made-in-america']",,56443002794.98619,56443002794.98619,False,,7,,,,2025-02-16T12:21:00.000Z,86.6706657984084,349525568913.81506,-56.289,0.02048251,0.00512378,0.01019531,0.00543437,-0.00319292,-0.00637965,4891952631902.879,1.7478,4891952631903.168,,2025-02-16T12:21:04.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-02-16 17:52:31
74,Dogecoin,DOGE,dogecoin,1163,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'ftx-bankruptcy-estate', 'made-in-america']",,148069156383.7052,148069156383.7052,True,,8,,,,2025-02-16T12:21:00.000Z,23.444216639390962,103011688003.0826,-47.6685,0.16454197,-2.30301028,6.07682689,-34.63758587,-30.44446676,-25.35032509,3471365379871.4443,1.24,3471365379871.21,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
2010,Cardano,ADA,cardano,1460,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america']",45000000000.0,35201193525.86875,44994975100.72033,False,,9,,,,2025-02-16T12:21:00.000Z,67.7657886382086,38732296472.65396,-33.6929,0.29940702,-1.65186366,11.71098249,-30.26961328,-25.30193455,6.85890074,2385436640286.6987,0.8521,3049460488719.6113,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
1958,TRON,TRX,tron,1118,2017-09-13T00:00:00.000Z,"['media', 'payments', 'ethereum-ecosystem', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem']",,86095926257.01846,86095935445.28273,True,,10,,,,2025-02-16T12:21:00.000Z,20.778987575741876,34806791237.20872,-13.8023,0.60030545,1.97080966,1.44645716,-2.94285716,-12.43832759,19.76224508,1788986182016.5754,0.639,1788986372939.6575,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
1975,Chainlink,LINK,chainlink,1927,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'substrate', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america']",,638099970.4527867,1000000000.0,False,,11,,,,2025-02-16T12:21:00.000Z,1656.910314857095,23433562908.485485,-33.983,0.3855809,-0.14975639,2.66629905,-20.79556967,-31.00562401,33.26582209,1057274422953.2297,0.3776,1656910314856.7993,,2025-02-16T12:21:04.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-02-16 17:52:31
512,Stellar,XLM,stellar,676,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', '2017-2018-alt-season', 'made-in-america']",50001806812.0,30613002889.9959,50001786894.450165,False,,12,,,,2025-02-16T12:21:00.000Z,29.947045307596667,16243821765.520172,-44.4495,-0.1367102,-3.25938808,5.99403027,-28.84286996,-20.82614599,43.93618236,916768984548.2948,0.3275,1497406374060.5493,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
5805,Avalanche,AVAX,avalanche,864,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonbeam-ecosystem', 'real-world-assets', 'layer-1', 'zksync-era-ecosystem', 'klaytn-ecosystem', 'made-in-america']",715748719.0,413649245.0437132,450318745.0437132,False,,13,,,,2025-02-16T12:21:00.000Z,2199.9995574217537,17122997895.599659,-35.4919,0.18567416,-2.72642285,1.26376678,-38.37849414,-46.09315216,-26.76224303,910028156024.0115,0.3251,1574646865025.1973,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
20947,Sui,SUI,sui,554,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america']",10000000000.0,3089707194.508888,10000000000.0,False,,14,3089707194.508888,10490356989.853052,,2025-02-16T12:20:00.000Z,294.26151864397553,45386851522.376015,-41.8937,0.35558512,-2.05382122,10.17161956,-30.99360378,-25.83040061,-6.05486114,909181931221.4025,0.3247,2942615186439.475,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
2,Litecoin,LTC,litecoin,1315,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'heco-ecosystem', 'layer-1', '2017-2018-alt-season', 'hoo-smart-chain-ecosystem', 'made-in-america']",84000000.0,75539037.0540892,84000000.0,False,,15,,,,2025-02-16T12:21:00.000Z,11394.971717843187,124431806311.62256,12.9359,-0.59590545,-0.67399022,22.64997476,-4.4798531,10.10180658,45.77217094,860765190824.4551,0.3075,957177624299.1301,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
5994,Shiba Inu,SHIB,shiba-inu,932,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel', 'base-ecosystem']",,589253877605904.0,589507244340896.6,False,,16,,,,2025-02-16T12:21:00.000Z,0.0014111102237155994,15454941274.969791,-34.3465,0.3459939,-1.97563978,1.22109783,-32.9568762,-37.37075786,-33.2660033,831502171053.7516,0.297,831859699444.1962,,2025-02-16T12:21:04.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2025-02-16 17:52:31
11419,Toncoin,TON,toncoin,674,2021-08-26T13:40:22.000Z,"['pos', 'ethereum-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem', 'cmc-crypto-yearbook-2024-2025']",,2494404010.75152,5122444281.596046,True,,17,,,,2025-02-16T12:21:00.000Z,332.75246870646623,8549568629.811492,-16.3988,0.69926863,1.34992099,1.00946461,-31.7431958,-33.11746213,-29.13538344,830019092528.879,0.2965,1704505980512.2456,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
4642,Hedera,HBAR,hedera,316,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'defi', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'real-world-assets', 'layer-1', 'made-in-america']",50000000000.0,41770696489.76432,50000000000.0,False,,18,,,,2025-02-16T12:21:00.000Z,19.6048488515705,16030575670.098024,-36.1151,0.03387842,-3.75751513,-4.21591972,-39.42366446,-24.73017422,104.09254674,818908191106.6561,0.2925,980242442578.832,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
3957,UNUS SED LEO,LEO,unus-sed-leo,57,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,924122796.9,985239504.0,False,,19,,,,2025-02-16T12:21:00.000Z,850.8907721930973,34744406.38250237,-38.3039,0.27923901,0.16226348,-0.02821211,0.97205492,2.94313097,26.62896281,786327560255.4858,0.2809,838331202353.586,,2025-02-16T12:21:04.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2025-02-16 17:52:31
32196,Hyperliquid,HYPE,hyperliquid,51,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'derivatives', 'layer-1', 'hyperliquid-ecosystem']",1000000000.0,333928180.0,999993930.0,False,,20,333931719.0,8834865688.919935,,2025-02-16T12:21:00.000Z,2292.9934120160533,6976806366.143465,-60.7328,0.44974352,0.21386766,13.30970943,10.32834208,-2.48504207,726.71302422,765695116826.5109,0.2735,2292993412015.9404,,2025-02-16T12:21:04.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-02-16 17:52:31
6636,Polkadot,DOT,polkadot-new,865,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'heco-ecosystem', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'osmosis-ecosystem', 'layer-1', 'made-in-america']",,1549151764.005007,1549151764.005007,True,,21,,,,2025-02-16T12:20:00.000Z,433.33033633809896,11119318548.803194,-34.0312,0.45684916,-1.53315539,3.38022663,-32.29055044,-40.08867608,-12.64276915,671294454935.049,0.2398,671294454934.6299,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
6536,MANTRA,OM,mantra,248,2020-08-11T00:00:00.000Z,"['cosmos-ecosystem', 'defi', 'dao', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'exnetwork-capital-portfolio', 'polygon-ecosystem', 'osmosis-ecosystem', 'real-world-assets', 'base-ecosystem']",,972551388.47,1808122901.42,True,,22,875834067.9,6513097132.559005,,2025-02-16T12:20:00.000Z,644.5049382721558,31732816760.638622,-57.7171,-3.30345812,-1.44022567,25.09510136,94.04049458,81.64764963,79.01686284,626814172592.3567,0.2239,1165344138968.3308,,2025-02-16T12:21:04.000Z,1027.0,Ethereum,ETH,ethereum,0x3593d125a4f7849a1b059e64f4517a86dd60c95d,2025-02-16 17:52:31
1831,Bitcoin Cash,BCH,bitcoin-cash,977,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'heco-ecosystem', 'bitcoin-ecosystem', 'layer-1', '2017-2018-alt-season', 'made-in-america']",21000000.0,19830156.25,19830156.25,False,,23,,,,2025-02-16T12:21:00.000Z,28947.56704417263,16384656110.10321,-17.4285,0.0154831,-2.02564174,2.42025018,-30.63968109,-36.56596803,-23.83773332,574034777543.294,0.205,607898907927.302,,2025-02-16T12:21:04.000Z,,,,,,2025-02-16 17:52:31
11092,Bitget Token,BGB,bitget-token-new,30,2021-07-29T00:00:00.000Z,"['centralized-exchange', 'ethereum-ecosystem']",,1200000000.0,1200000000.0,False,,24,1200000000.0,6020716598.374761,,2025-02-16T12:21:00.000Z,434.837977832233,20716704223.00246,7.0443,0.66647385,-4.28651589,-20.96828449,-28.87285549,13.54046698,269.33553001,521805573398.67957,0.1864,521805573398.26697,,2025-02-16T12:21:04.000Z,1027.0,Ethereum,ETH,ethereum,0x54D2252757e1672EEaD234D27B1270728fF90581,2025-02-16 17:52:31
29470,Ethena USDe,USDe,ethena-usde,105,2024-02-20T11:05:01.000Z,"['stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'binance-labs-portfolio', 'dragonfly-capital-portfolio', 'usd-stablecoin', 'optimism-ecosystem', 'linea-ecosystem', 'eigenlayer-ecosystem', 'kava-ecosystem', 'metis-andromeda-ecosystem', 'mantle-ecosystem', 'manta-pacific-ecosystem', 'scroll-ecosystem']",,5968476701.765498,5968476701.765498,True,,25,,,,2025-02-16T12:20:00.000Z,86.6276122788524,6027313421.147071,6.2253,-0.00493604,-0.02683776,-0.08946356,-0.02981957,-0.14773189,-0.18832624,517034885615.9053,0.1847,517034885615.83154,,2025-02-16T12:21:04.000Z,1027.0,Ethereum,ETH,ethereum,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,2025-02-16 17:52:31
